Data points,x(IL),T/K
1,0.019,294.28
2,0.03,299.48
3,0.047,303.19
4,0.06,304.57
5,0.079,305.49
6,0.1,305.92
7,0.148,306.05
8,0.199,305.69
9,0.248,304.81
10,0.299,302.73
11,0.342,300.62
12,0.4,296.65
13,0.447,292.71
