18,0.0596,288.1
19,0.0696,284.8
17,0.0794,293.1
18,0.0868,288.2
16,0.105,296.4
17,0.1119,291.2
15,0.1279,298
16,0.1377,293.7
14,0.1561,299.4
15,0.1682,296.3
13,0.1928,301.6
14,0.2046,297.5
13,0.2344,298.7
12,0.2387,302.8
12,0.2753,300
11,0.3015,303.5
11,0.3172,300.6
10,0.3598,301.3
10,0.3795,303.7
9,0.4062,301.7
9,0.432,303.7
8,0.4564,301.9
8,0.475,303.8
7,0.5141,302.1
7,0.5204,303.5
6,0.5659,301.5
6,0.5676,302.8
5,0.6094,301.7
5,0.6129,300.6
4,0.6533,299.9
4,0.6612,298.8
3,0.7073,296.1
3,0.7155,296.4
2,0.7635,291.4
2,0.7651,291.6
1,0.8111,285.6
1,0.8132,285.3
